symbol,name,price,exchange,exchangeShortName,type
GTHX,"G1 Therapeutics, Inc.",2.16,NASDAQ Global Select,NASDAQ,stock
IMUX,"Immunic, Inc.",1.28,NASDAQ Global Select,NASDAQ,stock
ANGO,"AngioDynamics, Inc.",5.89,NASDAQ Global Select,NASDAQ,stock
BLRX,BioLineRx Ltd.,1.15,NASDAQ Capital Market,NASDAQ,stock
DBGI,"Digital Brands Group, Inc.",4.98,NASDAQ Capital Market,NASDAQ,stock
ERIC,Telefonaktiebolaget LM Ericsson (publ),5.35,NASDAQ Global Select,NASDAQ,stock
SOUN,"SoundHound AI, Inc.",3.77,NASDAQ Global Market,NASDAQ,stock
LYEL,"Lyell Immunopharma, Inc.",2.28,NASDAQ Global Select,NASDAQ,stock
GGR,Gogoro Inc.,1.87,NASDAQ Global Select,NASDAQ,stock
GVP,"GSE Systems, Inc.",2.1,NASDAQ Capital Market,NASDAQ,stock
ACRV,"Acrivon Therapeutics, Inc. Common Stock",3.8,NASDAQ,NASDAQ,stock
INBS,Intelligent Bio Solutions Inc.,4.04,NASDAQ Capital Market,NASDAQ,stock
AUVI,"Applied UV, Inc.",1.82,NASDAQ Capital Market,NASDAQ,stock
TKC,Turkcell Iletisim Hizmetleri A.S.,5.29,New York Stock Exchange,NYSE,stock
COMM,"CommScope Holding Company, Inc.",1.93,NASDAQ Global Select,NASDAQ,stock
ATOM,Atomera Incorporated,6.46,NASDAQ Capital Market,NASDAQ,stock
INNV,InnovAge Holding Corp.,5.14,NASDAQ Global Select,NASDAQ,stock
INTR,"Inter & Co, Inc.",5.3,NASDAQ Global Select,NASDAQ,stock
GANX,"Gain Therapeutics, Inc.",4.42,NASDAQ Global Market,NASDAQ,stock
GDC,GD Culture Group Limited,2.075,NASDAQ Capital Market,NASDAQ,stock
MURA,Mural Oncology plc,4.69,NASDAQ Global Market,NASDAQ,stock
INSG,Inseego Corp.,3.13,NASDAQ Global Select,NASDAQ,stock
ANIX,"Anixa Biosciences, Inc.",3.77,NASDAQ Capital Market,NASDAQ,stock
HIMX,"Himax Technologies, Inc.",5.46,NASDAQ Global Select,NASDAQ,stock
CING,Cingulate Inc.,1.08,NASDAQ Capital Market,NASDAQ,stock
MGTX,MeiraGTx Holdings plc,5.86,NASDAQ Global Select,NASDAQ,stock
HNST,"The Honest Company, Inc.",3.33,NASDAQ Global Select,NASDAQ,stock
MRSN,"Mersana Therapeutics, Inc.",3.69,NASDAQ Global Select,NASDAQ,stock
GTIM,Good Times Restaurants Inc.,2.32,NASDAQ Capital Market,NASDAQ,stock
GBIO,Generation Bio Co.,2.03,NASDAQ Global Select,NASDAQ,stock
LQR,LQR House Inc.,2.95,NASDAQ Capital Market,NASDAQ,stock
CLSD,"Clearside Biomedical, Inc.",1.3,NASDAQ Global Market,NASDAQ,stock
BTM,Bitcoin Depot Inc.,2.26,NASDAQ Capital Market,NASDAQ,stock
MNTX,"Manitex International, Inc.",6.29,NASDAQ Capital Market,NASDAQ,stock
CRON,Cronos Group Inc.,2.19,NASDAQ Global Market,NASDAQ,stock
LDTC,LeddarTech Holdings Inc.,4.28,NASDAQ Global Market,NASDAQ,stock
MASS,908 Devices Inc.,6.96,NASDAQ Global Market,NASDAQ,stock
CFFN,"Capitol Federal Financial, Inc.",5.94,NASDAQ Global Select,NASDAQ,stock
IRIX,IRIDEX Corporation,2.45,NASDAQ Global Market,NASDAQ,stock
CMAX,"CareMax, Inc.",6.45,NASDAQ Global Select,NASDAQ,stock
DHAI,"DIH Holdings US, Inc. Class A Common Stock",1.21,Nasdaq,NASDAQ,stock
ASG,"Liberty All-Star Growth Fund, Inc.",5.32,New York Stock Exchange,NYSE,stock
HOUR,"Hour Loop, Inc.",1.46,NASDAQ Capital Market,NASDAQ,stock
CRBU,"Caribou Biosciences, Inc.",6.84,NASDAQ Global Select,NASDAQ,stock
RYAM,Rayonier Advanced Materials Inc.,4.49,New York Stock Exchange,NYSE,stock
KRON,"Kronos Bio, Inc.",1.05,NASDAQ Global Select,NASDAQ,stock
FREE,"Whole Earth Brands, Inc.",4.78,NASDAQ Capital Market,NASDAQ,stock
IVDA,"Iveda Solutions, Inc.",1.01,NASDAQ Capital Market,NASDAQ,stock
ADTH,"AdTheorent Holding Company, Inc.",2.85,NASDAQ Capital Market,NASDAQ,stock
BRTX,"BioRestorative Therapies, Inc.",1.36,NASDAQ Capital Market,NASDAQ,stock
GILT,Gilat Satellite Networks Ltd.,6.3,NASDAQ Global Select,NASDAQ,stock
IMAB,I-Mab,1.6,NASDAQ Global Market,NASDAQ,stock
CIFRW,Cipher Mining Inc.,1.08,NASDAQ Global Select,NASDAQ,stock
AP,Ampco-Pittsburgh Corporation,2.45,New York Stock Exchange,NYSE,stock
HFFG,HF Foods Group Inc.,4.15,NASDAQ Capital Market,NASDAQ,stock
IKNA,"Ikena Oncology, Inc.",1.33,NASDAQ Global Market,NASDAQ,stock
INZY,"Inozyme Pharma, Inc.",5.64,NASDAQ Global Select,NASDAQ,stock
IVAC,"Intevac, Inc.",3.81,NASDAQ Global Select,NASDAQ,stock
LTBR,Lightbridge Corporation,2.91,NASDAQ Capital Market,NASDAQ,stock
IDEX,"Ideanomics, Inc.",1.04,NASDAQ Capital Market,NASDAQ,stock
CAPR,"Capricor Therapeutics, Inc.",3.86,NASDAQ Capital Market,NASDAQ,stock
ARBK,Argo Blockchain plc,2.16,NASDAQ Global Select,NASDAQ,stock
GRPH,"Graphite Bio, Inc.",3.0,NASDAQ Global Market,NASDAQ,stock
HYPR,"Hyperfine, Inc.",1.02,NASDAQ Global Market,NASDAQ,stock
DCGO,DocGo Inc.,3.5,NASDAQ Capital Market,NASDAQ,stock
EVLV,"Evolv Technologies Holdings, Inc.",4.36,NASDAQ Capital Market,NASDAQ,stock
MTC,"MMTec, Inc.",1.4,NASDAQ Capital Market,NASDAQ,stock
BTBT,"Bit Digital, Inc.",2.72,NASDAQ Capital Market,NASDAQ,stock
OIS,"Oil States International, Inc.",5.68,New York Stock Exchange,NYSE,stock
ASPI,ASP Isotopes Inc. Common Stock,3.1,NASDAQ Global Market,NASDAQ,stock
BTDR,Bitdeer Technologies Group,6.71,NASDAQ Capital Market,NASDAQ,stock
BW,"Babcock & Wilcox Enterprises, Inc.",1.15,New York Stock Exchange,NYSE,stock
DCTH,"Delcath Systems, Inc.",4.21,NASDAQ Capital Market,NASDAQ,stock
DRIO,DarioHealth Corp.,2.03,NASDAQ Capital Market,NASDAQ,stock
DIBS,"1stdibs.Com, Inc.",4.65,NASDAQ Global Market,NASDAQ,stock
HGBL,Heritage Global Inc.,2.88,NASDAQ Capital Market,NASDAQ,stock
GNPX,"Genprex, Inc.",4.49,NASDAQ Capital Market,NASDAQ,stock
BCAB,"BioAtla, Inc.",2.41,NASDAQ Global Market,NASDAQ,stock
CUTR,"Cutera, Inc.",2.71,NASDAQ Global Select,NASDAQ,stock
