type,symbol,d,no,no_p,no_l,wr,tp2,tl2,tg2,inv2,tir2$,tp3,tl3,tg3,inv3,tir3$
total,PERPUSDT,4.67,2,1,1,50.0%,3.0%,-6.0%,-3.0%,1000,970.0,5.68%,-6.0%,-0.32%,1000,996.8
total,GLMRUSDT,8.0,2,1,1,50.0%,3.0%,-6.0%,-3.0%,1000,970.0,5.68%,-6.0%,-0.32%,1000,996.8
total,STGUSDT,22.5,4,2,2,50.0%,6.0%,-12.0%,-6.0%,1000,940.0,8.28%,-12.0%,-3.72%,1000,962.8
total,MEMEUSDT,10.5,2,1,1,50.0%,3.0%,-6.0%,-3.0%,1000,970.0,5.68%,-6.0%,-0.32%,1000,996.8
total,OPUSDT,7.33,2,1,1,50.0%,3.0%,-6.0%,-3.0%,1000,970.0,2.6%,-6.0%,-3.4%,1000,966.0
total,CAKEUSDT,7.33,2,1,1,50.0%,3.0%,-6.0%,-3.0%,1000,970.0,5.68%,-6.0%,-0.32%,1000,996.8
total,ICPUSDT,7.17,2,1,1,50.0%,3.0%,-6.0%,-3.0%,1000,970.0,5.68%,-6.0%,-0.32%,1000,996.8
total,STORJUSDT,22.67,2,1,1,50.0%,3.0%,-6.0%,-3.0%,1000,970.0,2.6%,-6.0%,-3.4%,1000,966.0
total,ATOMUSDT,25.33,3,1,2,33.33%,3.0%,-12.0%,-9.0%,1000,910.0,5.68%,-12.0%,-6.32%,1000,936.8
total,HFTUSDT,18.33,3,1,2,33.33%,3.0%,-12.0%,-9.0%,1000,910.0,5.68%,-12.0%,-6.32%,1000,936.8
total,XLMUSDT,18.83,4,1,3,25.0%,3.0%,-18.0%,-15.0%,1000,850.0,5.68%,-18.0%,-12.32%,1000,876.8
total,CTSIUSDT,0.0,1,0,1,0.0%,0%,-6.0%,-6.0%,1000,940.0,0%,-6.0%,-6.0%,1000,940.0
total,TWTUSDT,9.33,2,0,2,0.0%,0%,-12.0%,-12.0%,1000,880.0,0%,-12.0%,-12.0%,1000,880.0
total,JOEUSDT,0.0,1,0,1,0.0%,0%,-6.0%,-6.0%,1000,940.0,0%,-6.0%,-6.0%,1000,940.0
total,LINKUSDT,6.5,2,0,2,0.0%,0%,-12.0%,-12.0%,1000,880.0,0%,-12.0%,-12.0%,1000,880.0
total,CKBUSDT,0.0,1,0,1,0.0%,0%,-6.0%,-6.0%,1000,940.0,0%,-6.0%,-6.0%,1000,940.0
total,TIAUSDT,0.0,1,0,1,0.0%,0%,-6.0%,-6.0%,1000,940.0,0%,-6.0%,-6.0%,1000,940.0
total,APTUSDT,0.0,1,0,1,0.0%,0%,-6.0%,-6.0%,1000,940.0,0%,-6.0%,-6.0%,1000,940.0
